customer_id,age,income,visits,region,segment_label,churn,spend
C001,22,28000,2,North,Budget,1,120
C002,24,30000,3,North,Budget,1,135
C003,25,31500,3,North,Budget,0,150
C004,27,33000,4,North,Budget,1,160
C005,28,34500,4,North,Budget,0,175
C006,30,36000,5,North,Budget,1,185
C007,31,37200,5,North,Budget,0,195
C008,33,38500,6,North,Budget,1,210
C009,34,39800,6,North,Budget,0,220
C010,35,41000,7,North,Budget,1,235
C011,29,43000,5,Central,Core,0,260
C012,31,44500,6,Central,Core,1,275
C013,33,46000,6,Central,Core,0,290
C014,35,47500,7,Central,Core,0,305
C015,36,49000,7,Central,Core,1,320
C016,38,51000,8,Central,Core,0,340
C017,39,52500,8,Central,Core,1,355
C018,41,54000,9,Central,Core,0,370
C019,42,55500,9,Central,Core,1,385
C020,44,57000,10,Central,Core,0,405
C021,37,61000,8,South,Premium,0,450
C022,39,63000,9,South,Premium,0,475
C023,41,65000,10,South,Premium,1,500
C024,43,67500,10,South,Premium,0,525
C025,45,70000,11,South,Premium,1,555
C026,46,72500,12,South,Premium,0,580
C027,48,75000,12,South,Premium,1,610
C028,50,78000,13,South,Premium,0,640
C029,52,81000,14,South,Premium,1,675
C030,54,85000,15,South,Premium,0,720
